full_address,beds,baths,year_built,sq_ft_interior,sq_ft_lot,price,lat,long,zip_code,Actual,Predicted
602 OAKBEND DR COPPELL TX 75019,3,2.0,1991,2227,10999,601451,32.9684456,-97.0109118,75019,601451,521815
614 CRIBBS DR COPPELL TX 75019,3,3.0,1986,1745,7836,476105,32.9828168,-96.9751705,75019,476105,465367
140 LEVEE PLACE  COPPELL TX 75019,4,3.5,2000,3502,12506,1010989,32.984585,-96.9963863,75019,1010989,762185
479 PARKWAY BLVD COPPELL TX 75019,3,2.0,1986,1190,4474,307415,32.97712,-96.9802086,75019,307415,378019
456 HALIFAX DR COPPELL TX 75019,4,2.0,1991,2166,7261,532566,32.967532,-97.0041734,75019,532566,516868
205 BRICKNELL LN COPPELL TX 75019,3,2.0,1997,2182,7283,483232,32.9755579,-97.0109389,75019,483232,524856
544 HAWKEN DR COPPELL TX 75019,3,2.5,2001,1804,4600,499473,32.9628762,-97.0082219,75019,499473,486924
1250 BETHEL SCHOOL CT COPPELL TX 75019,3,2.5,2006,1502,2566,353066,32.9609635,-96.9567722,75019,353066,450486
1510 GLADE POINT DR COPPELL TX 75019,5,3.0,1998,2795,9409,611393,32.9642756,-96.9472289,75019,611393,647511
238 BRIGHTON LN COPPELL TX 75019,4,3.5,1998,3160,8999,775693,32.9709169,-96.9883063,75019,775693,708567
739 BLUE JAY LN COPPELL TX 75019,4,3.0,1987,2622,15285,662429,32.9576806,-96.9689183,75019,662429,600246
537 RAINTREE CIR COPPELL TX 75019,3,2.5,1990,1873,3999,426491,32.9815896,-96.9705478,75019,426491,479358
449 WOODWAY  COPPELL TX 75019,3,2.0,1979,1944,7070,481601,32.962809,-96.9813813,75019,481601,460769
411 SADDLE TREE TRL COPPELL TX 75019,4,3.0,1996,3126,8943,716271,32.9601799,-97.0001853,75019,716271,689016
534 RAINTREE CIR COPPELL TX 75019,3,2.0,1990,1613,5502,406781,32.9821302,-96.9687311,75019,406781,429731
512 HALIFAX LN COPPELL TX 75019,4,2.0,1990,2112,8002,500788,32.9673874,-97.0075321,75019,500788,507300
362 GRAHAM DR COPPELL TX 75019,4,3.5,1997,3007,10894,762000,32.9829439,-97.0026201,75019,762000,684411
125 MEADOWGLEN CIR COPPELL TX 75019,3,2.0,1984,2013,9496,523015,32.9711154,-96.9663378,75019,523015,478997
725 WESTMINSTER WAY  COPPELL TX 75019,4,3.0,1998,3040,7061,678610,32.980946,-97.0101351,75019,678610,679568
335 HARWELL ST COPPELL TX 75019,3,2.0,1985,1835,6033,447825,32.976222,-96.9740419,75019,447825,454381
416 KAYE ST COPPELL TX 75019,3,2.0,1986,1719,9583,458616,32.9606904,-97.005139,75019,458616,438902
304 KAYE ST COPPELL TX 75019,3,2.0,1958,1588,10019,429535,32.9606013,-97.0020224,75019,429535,380965
1029 WILD HORSE WY LANCASTER TX 75134,4,2.0,2006,2051,8699,297777,32.624064,-96.7836785,75134,297777,302924
2304 REDWOOD DR LANCASTER TX 75134,5,3.0,2018,2633,7039,372200,32.6163019,-96.8020491,75134,372200,361184
1922 PIN OAK LN LANCASTER TX 75146,6,3.5,2000,4055,6094,365412,32.5933178,-96.7930096,75146,365412,441209
2455 MALLORY LN LANCASTER TX 75134,3,2.0,2001,1660,5650,272534,32.6213309,-96.8041417,75134,272534,272714
2427 BONNYWOOD DR LANCASTER TX 75134,3,2.0,2005,1657,6050,274054,32.6183885,-96.8040999,75134,274054,275649
611 W 5TH ST LANCASTER TX 75146,3,1.0,1954,768,9583,175634,32.5970001,-96.766317,75146,175634,174730
1815 ATHENA DR LANCASTER TX 75134,3,2.0,2005,2394,6464,366465,32.6051469,-96.7982197,75134,366465,319586
1012 BABBLING BROOK LN LANCASTER TX 75134,4,2.5,2006,2703,8250,350312,32.6231739,-96.7822559,75134,350312,347398
4323 PERCY ST LANCASTER TX 75134,3,2.5,2017,2173,25265,434052,32.6379322,-96.7867132,75134,434052,321332
828 N LANCASTER HUTCHINS RD LANCASTER TX 75146,4,2.0,1975,1444,65083,249552,32.6003974,-96.7472875,75146,249552,240953
1706 LARCHWOOD CIR GARLAND TX 75040,3,2.0,1974,1419,10402,249552,32.9291647,-96.6108159,75040,249552,240953
3206 BASKIN DR LANCASTER TX 75134,3,2.0,2018,2080,18648,224808,32.6236417,-96.7959599,75134,224808,310972
4312 FRANKLIN ST LANCASTER TX 75134,3,1.0,1950,1276,10424,220078,32.6359589,-96.790457,75134,220078,198900
1002 APRIL SHOWERS LN LANCASTER TX 75134,3,2.0,2005,2711,7074,314359,32.6296158,-96.7858542,75134,314359,338484
1835 APOLLO LN LANCASTER TX 75134,4,3.5,2005,3846,6599,422813,32.6070869,-96.7993287,75134,422813,425971
4321 TRIPPIE ST LANCASTER TX 75134,3,2.0,2018,1774,17171,192966,32.6392643,-96.7849965,75134,192966,292731
1630 LYON ST LANCASTER TX 75134,2,1.0,1945,2722,18583,192995,32.6186467,-96.7952694,75134,192995,278193
2810 HENRY RD LANCASTER TX 75134,3,2.0,1952,1736,24864,232116,32.61915,-96.7924656,75134,232116,239069
1550 MARSALIS RD LANCASTER TX 75134,4,2.5,2007,2300,130680,464160,32.60772,-96.8156316,75134,464160,323990
814 QUAIL RUN LN LANCASTER TX 75146,4,3.0,2001,2186,8830,350779,32.5916155,-96.8013167,75146,350779,319478
1051 LYLE ST LANCASTER TX 75134,2,1.0,1950,748,12837,161890,32.6430987,-96.7886473,75134,161890,164409
1471 PARK CIRCLE DR LANCASTER TX 75134,2,1.0,1957,864,13752,187088,32.6070202,-96.8192108,75134,187088,176773
1218 LONG BRANCH DR LANCASTER TX 75146,4,2.0,2004,2583,7379,333303,32.5944739,-96.7764823,75146,333303,335107
3335 SHERWOOD AVE LANCASTER TX 75134,3,1.5,1961,964,16000,199476,32.630509,-96.820069,75134,199476,194460
944 OAKBLUFF DR LANCASTER TX 75146,5,2.0,1974,2094,9696,274413,32.5984232,-96.7762104,75146,274413,276961
442 POLLY RD SUNNYVALE TX 75182,3,3.0,1959,2420,30928,451687,32.8195728,-96.5536945,75182,451687,449642
319 RAIN TREE DR SUNNYVALE TX 75182,6,3.0,2005,3370,7253,581821,32.8073551,-96.6012609,75182,581821,655020
3109 SAGE TREE LN SUNNYVALE TX 75182,5,4.0,2005,3651,7728,602306,32.8088055,-96.6003847,75182,602306,716850
106 BARNES BRIDGE RD SUNNYVALE TX 75182,4,2.5,1986,2692,15616,482935,32.8225436,-96.5940642,75182,482935,515681
103 GREENWAY ST SUNNYVALE TX 75182,3,2.0,1978,2094,14201,360101,32.8221322,-96.5947942,75182,360101,413983
339 CHATHAM ST SUNNYVALE TX 75182,5,3.0,1998,3122,15111,492818,32.8136191,-96.6014695,75182,492818,607636
3416 CHAPELWOOD DR SUNNYVALE TX 75182,5,2.5,1999,3114,9631,452819,32.8126518,-96.5998423,75182,452819,596491
3318 CHAPELWOOD DR SUNNYVALE TX 75182,5,4.0,2000,3319,8107,527480,32.8099542,-96.5998215,75182,527480,662090
3326 FALLBROOK DR SUNNYVALE TX 75182,3,2.0,2001,2216,6891,461112,32.8108021,-96.6008019,75182,461112,466187
510 EAST FORK RD SUNNYVALE TX 75182,3,2.0,1965,1110,12632,225660,32.8219413,-96.5474203,75182,225660,270581
13745 SUNDOWN TRL FARMERS BRANCH TX 75234,3,1.0,1955,1004,7501,270687,32.9313982,-96.8891602,75234,270687,256828
13745 SUNDOWN TRL FARMERS BRANCH TX 75234,3,1.0,1955,1004,7501,270687,32.9313982,-96.8891602,75234,270687,317476
5001 VERA CRUZ DR GARLAND TX 75043,3,2.0,1978,1912,8751,270687,32.8561449,-96.6223549,75043,270687,256828
5001 VERA CRUZ DR GARLAND TX 75043,3,2.0,1978,1912,8751,270687,32.8561449,-96.6223549,75043,270687,317476
14412 DENNIS LN FARMERS BRANCH TX 75234,3,2.0,1962,2256,8925,365351,32.94352,-96.8830419,75234,365351,449184
213 THE FALLS DR SUNNYVALE TX 75182,4,4.5,2022,4987,44026,1211376,32.799083,-96.5712071,75182,1211376,942815
129 EAST FORK RD SUNNYVALE TX 75182,5,3.5,1991,3171,64251,666297,32.7892204,-96.5416053,75182,666297,613597
1461 PERRIN LN FARMERS BRANCH TX 75234,2,3.5,2019,1996,1978,480545,32.917608,-96.927763,75234,480545,524560
334 YOSEMITE FALLS DR SUNNYVALE TX 75182,4,3.5,2014,4341,54450,1167779,32.7979494,-96.5698101,75182,1167779,815673
502 LLANO LN SUNNYVALE TX 75182,3,3.5,2002,4249,43882,847796,32.7945563,-96.5486918,75182,847796,780805
285 CREEKWOOD DR SUNNYVALE TX 75182,3,2.0,2000,2708,13242,526374,32.8042674,-96.5844699,75182,526374,529293
296 CREEKWOOD DR SUNNYVALE TX 75182,4,3.5,2002,3182,14436,574363,32.8058154,-96.5846576,75182,574363,634360
285 LOST CREEK DR SUNNYVALE TX 75182,4,4.0,2001,3203,12001,570123,32.8040173,-96.5875566,75182,570123,647304
214 ISLAND FALLS  SUNNYVALE TX 75182,6,6.0,2011,5230,60984,718577,32.7971597,-96.5660362,75182,718577,996189
202 THE FALLS DR SUNNYVALE TX 75182,5,5.0,2013,6065,64469,1418455,32.7963926,-96.5700088,75182,1418455,1087739
290 ASHWOOD LN SUNNYVALE TX 75182,4,3.0,2000,3910,12981,605891,32.8049301,-96.5852207,75182,605891,719252
287 CREEKWOOD DR SUNNYVALE TX 75182,4,2.5,2001,3433,12175,556425,32.8044616,-96.5845325,75182,556425,643461
202 HEARTHSTONE DR SUNNYVALE TX 75182,6,4.0,2001,3439,22499,711133,32.8029158,-96.5868058,75182,711133,681012
297 ASHWOOD LN SUNNYVALE TX 75182,4,3.0,2000,3217,12105,532401,32.8055664,-96.5864721,75182,532401,623738
221 THE FALLS DR SUNNYVALE TX 75182,4,3.5,2018,3640,44675,916614,32.800952,-96.571348,75182,916614,726264
212 BRAZOS LN SUNNYVALE TX 75182,3,6.0,2001,5602,31498,902565,32.7952047,-96.5484625,75182,902565,1024734
214 THE FALLS DR SUNNYVALE TX 75182,4,3.5,2017,3621,55739,842800,32.7997543,-96.5701229,75182,842800,721837
117 EAST FORK RD SUNNYVALE TX 75182,3,3.0,1994,3120,87512,688375,32.785735,-96.5411051,75182,688375,598912
116 EAST FORK RD SUNNYVALE TX 75182,4,2.0,1978,3067,43560,635308,32.7852561,-96.5401881,75182,635308,540489
288 ASHWOOD LN SUNNYVALE TX 75182,4,2.5,2001,2904,12933,548408,32.8047589,-96.5851373,75182,548408,570550
139 PASCHALL RD SUNNYVALE TX 75182,3,3.0,2014,2692,43560,693547,32.7928907,-96.5553622,75182,693547,575961
211 CHAPARRAL DR SUNNYVALE TX 75182,4,3.5,2001,2889,7937,468456,32.8084367,-96.5988386,75182,468456,592181
3049 CYPRESS WAY  SUNNYVALE TX 75182,4,2.5,1999,3096,7597,500250,32.8076901,-96.5980804,75182,500250,593417
216 BLANCO LN SUNNYVALE TX 75182,4,3.0,2002,3238,30758,650309,32.7959844,-96.5444606,75182,650309,630218
514 LLANO LN SUNNYVALE TX 75182,4,3.5,2000,3551,44105,803937,32.7945459,-96.5455969,75182,803937,681595
210 ISLAND FALLS  SUNNYVALE TX 75182,5,4.5,2007,4978,53579,1070065,32.7964741,-96.5669745,75182,1070065,915159
1501 MILAM WAY  CARROLLTON TX 75006,3,2.0,1963,1452,11465,302599,32.9494909,-96.8867715,75006,302599,294461
1504 FANNIN DR CARROLLTON TX 75006,3,2.0,1964,2088,7937,321910,32.9493377,-96.8842809,75006,321910,356045
2102 AUSTIN DR CARROLLTON TX 75006,3,2.0,1967,1550,7139,304257,32.9466743,-96.8855961,75006,304257,308417
1069 RODIN LN CARROLLTON TX 75006,4,2.5,2007,2013,4321,425346,32.9763179,-96.9078073,75006,425346,426092
2731 LAKERIDGE LN CARROLLTON TX 75006,4,3.0,1971,2236,11199,482507,32.9593114,-96.8567522,75006,482507,436525
206 MESA DR SUNNYVALE TX 75182,4,3.0,1981,2058,25138,482507,32.7985576,-96.5812165,75182,482507,436525
1015 RYAN AVE CARROLLTON TX 75006,3,1.0,1952,1033,8712,236718,32.9650935,-96.9056323,75006,236718,227274
1100 E RUSSELL AVE CARROLLTON TX 75006,2,1.0,1954,1116,10032,246129,32.9655911,-96.9045439,75006,246129,237417
2304 HALIFAX DR CARROLLTON TX 75006,3,2.0,1967,1675,11935,319774,32.9493002,-96.8759185,75006,319774,320339
2114 REAGAN BLVD CARROLLTON TX 75006,3,2.0,1966,1129,7022,282563,32.9511867,-96.88256,75006,282563,269182
2308 HALIFAX DR CARROLLTON TX 75006,2,2.0,1964,1211,8294,282563,32.9493671,-96.8754995,75006,282563,269182
2250 JACKSON CIR CARROLLTON TX 75006,3,3.0,1979,1756,4744,304397,32.9768174,-96.8947458,75006,304397,362233
2402 RIDGEDALE DR CARROLLTON TX 75006,5,3.5,1965,2317,9270,411257,32.950423,-96.8738236,75006,411257,413155
2806 LEISURE LN CARROLLTON TX 75006,5,4.0,1978,3027,11160,754809,32.9624422,-96.8591608,75006,754809,509839
2713 CREEK WOOD CT CARROLLTON TX 75006,4,2.0,1974,1738,2326,315005,32.968786,-96.861398,75006,315005,341683
2416 SPARLING WAY  CARROLLTON TX 75006,4,2.0,1963,1608,7344,306471,32.9527999,-96.8744102,75006,306471,312476
2414 RIDGEDALE DR CARROLLTON TX 75006,2,2.0,1965,1426,8520,287009,32.9505844,-96.8724828,75006,287009,293079
2711 NORTH SURREY DR CARROLLTON TX 75006,4,2.5,1972,2428,9601,516911,32.9677306,-96.86136,75006,516911,413856
2413 CROWN CT CARROLLTON TX 75006,4,2.0,1997,2948,10367,489450,32.9776024,-96.8566475,75006,489450,494132
1824 BALMORAL DR CARROLLTON TX 75006,2,1.0,1961,1142,9618,227977,32.949843,-96.8915071,75006,227977,249238
2907 COUNTRY PLACE CIR CARROLLTON TX 75006,3,2.5,1972,1763,5118,299951,32.961067,-96.855985,75006,299951,344405
1831 PLEASANT RUN RD CARROLLTON TX 75006,3,2.0,1963,1208,7200,325922,32.9444136,-96.8914652,75006,325922,272461
1316 CANNES DR CARROLLTON TX 75006,4,2.5,1990,1919,5005,408095,32.9731723,-96.8973328,75006,408095,391362
1400 ROSEMON AVE CARROLLTON TX 75006,4,3.5,1916,3101,30675,725760,32.9561426,-96.9027868,75006,725760,411121
2414 CORDOBA DR CARROLLTON TX 75006,4,5.0,1984,2952,8856,581675,32.9803733,-96.8779298,75006,581675,522834
1852 MOONBEAM LN CARROLLTON TX 75006,3,2.0,1964,1198,7919,294228,32.9394564,-96.8927854,75006,294228,272841
1831 MOONBEAM LN CARROLLTON TX 75006,3,2.0,1964,1496,7802,285927,32.9398802,-96.8950276,75006,285927,299706
2001 PAT LN CARROLLTON TX 75006,2,2.0,1984,1178,5693,309009,32.9686605,-96.9083974,75006,309009,297361
2740 SHADYGROVE LN CARROLLTON TX 75006,4,2.5,1984,2321,17485,422158,32.9784114,-96.8562705,75006,422158,421494
1862 SHADYVIEW COVE  CARROLLTON TX 75006,3,2.0,1968,1550,4430,254028,32.9631649,-96.892974,75006,254028,309696
425 NE 18TH ST GRAND PRAIRIE TX 75050,3,2.0,1950,1395,9156,254028,32.751408,-96.9794135,75050,254028,309696
2002 PAT LN CARROLLTON TX 75006,2,2.0,1984,1224,4696,306525,32.9688192,-96.9079459,75006,306525,301425
2725 TIMBERLEAF DR CARROLLTON TX 75006,4,3.5,1980,2650,10520,436031,32.978898,-96.8585743,75006,436031,463470
2241 WOODCREEK  CARROLLTON TX 75006,4,2.5,1979,2260,8999,514007,32.9838974,-96.8747663,75006,514007,408025
2111 SAM HOUSTON BLVD CARROLLTON TX 75006,3,1.5,1961,1140,12101,274348,32.9523477,-96.883419,75006,274348,256112
2125 SAM HOUSTON BLVD CARROLLTON TX 75006,3,2.0,1968,1398,7841,304376,32.9524421,-96.8819531,75006,304376,295995
1231 JEANETTE WAY  CARROLLTON TX 75006,5,3.0,1990,3673,9540,424260,32.9709867,-96.8996381,75006,424260,397709
1231 JEANETTE WAY  CARROLLTON TX 75006,5,3.0,1990,3673,9540,424260,32.9709867,-96.8996381,75006,424260,583801
7902 WESTOVER DR ROWLETT TX 75089,4,2.0,2004,2290,8002,424260,32.9220005,-96.5260802,75089,424260,397709
7902 WESTOVER DR ROWLETT TX 75089,4,2.0,2004,2290,8002,424260,32.9220005,-96.5260802,75089,424260,583801
2215 SALEM DR CARROLLTON TX 75006,4,3.0,1977,2000,2439,305227,32.9762506,-96.8907528,75006,305227,387669
2922 DONALD DR GARLAND TX 75041,3,1.0,1960,1435,7200,290659,32.8804897,-96.6258888,75041,290659,251722
506 W VISTA DR GARLAND TX 75041,3,2.0,1958,1955,11879,290659,32.8880018,-96.6364883,75041,290659,251722
1114 SUSAN DR GARLAND TX 75040,4,2.0,1963,1540,7022,268566,32.9045512,-96.6170771,75040,268566,279839
1113 HIGH MEADOW DR GARLAND TX 75040,3,2.0,1968,1771,7457,246434,32.9017039,-96.6187615,75040,246434,304089
3009 RILLA DR GARLAND TX 75041,3,1.0,1959,1395,7200,241050,32.8796489,-96.6252973,75041,241050,247897
2114 STONEHENGE DR GARLAND TX 75041,3,2.0,1964,1281,15059,272346,32.8855783,-96.6581162,75041,272346,262381
615 PARKER CIR GARLAND TX 75040,2,1.5,1972,1011,5001,209334,32.9120512,-96.6231091,75040,209334,230703
5013 OVERCREST DR GARLAND TX 75043,4,2.0,1969,1874,7680,303047,32.8582821,-96.6370685,75043,303047,307888
478 CLEARFIELD DR GARLAND TX 75043,3,2.0,1970,1496,10402,302294,32.8581419,-96.6322679,75043,302294,268303
4618 BAYBERRY LN GARLAND TX 75043,3,2.5,1974,1676,7701,310661,32.8580967,-96.5620167,75043,310661,299993
409 LOS SANTOS DR GARLAND TX 75043,3,2.0,1978,1936,7279,339128,32.8590157,-96.626669,75043,339128,319826
1914 CONCHO DR GARLAND TX 75040,3,2.0,1979,1386,7079,303502,32.9239408,-96.601845,75040,303502,278035
621 GRANADA DR GARLAND TX 75043,3,2.0,1977,2083,7802,333260,32.8529067,-96.6302761,75043,333260,333156
2514 NEWCASTLE DR GARLAND TX 75041,3,1.0,1961,1231,10642,235084,32.8873137,-96.6617865,75041,235084,237778
2518 COUNTRY CLUB PKWY GARLAND TX 75041,3,3.0,1979,2330,10045,363354,32.89032,-96.6079993,75041,363354,370691
2505 WHEELWRIGHT PL GARLAND TX 75044,3,2.0,1985,1872,9879,291012,32.9560594,-96.6669151,75044,291012,343836
2826 LAKEWOOD DR GARLAND TX 75042,2,1.5,1958,1278,7876,237514,32.9172991,-96.671643,75042,237514,213048
1534 HICKORY ST GRAND PRAIRIE TX 75050,3,2.0,1942,1090,6412,237514,32.7497907,-96.984624,75050,237514,213048
2018 SANTA ANNA DR GARLAND TX 75042,2,2.0,1970,1174,8320,215830,32.9241387,-96.6586966,75042,215830,260805
2610 RIVIERA DR GARLAND TX 75040,3,2.0,1977,1671,8250,310815,32.9380411,-96.6128607,75040,310815,303814
908 PARKWAY DR GARLAND TX 75040,2,2.0,1949,1436,17001,286458,32.9042888,-96.6372981,75040,286458,250459
1506 SIERRA TRAIL  GARLAND TX 75043,3,3.0,2003,3750,10572,499188,32.8720062,-96.5960667,75043,499188,543476
2208 HUSKEY ST GARLAND TX 75041,4,2.0,1951,1626,9117,271032,32.8814579,-96.6623621,75041,271032,281535
5130 TURTLE COVE RD GARLAND TX 75044,3,2.0,1986,1822,7018,348038,32.9651635,-96.6347934,75044,348038,338909
1514 SHOREHAVEN DR GARLAND TX 75040,3,1.5,1972,1034,8307,221957,32.917379,-96.6090634,75040,221957,200450
2122 DOLLYE DR GARLAND TX 75041,2,1.0,1958,837,12615,221957,32.8913663,-96.6246921,75041,221957,200450
1521 MORRISON DR GARLAND TX 75040,3,2.5,1971,1220,7501,268809,32.918968,-96.6088547,75040,268809,264621
1638 BITTER CREEK DR GARLAND TX 75040,3,2.0,1971,1440,7501,286045,32.915982,-96.6048073,75040,286045,290106
3718 KARLIE WAY DALLAS TX 75236,4,2.0,2007,1554,7719,286045,32.6992142,-96.89201,75236,286045,290106
2926 RILLA DR GARLAND TX 75041,3,1.5,1959,1334,7736,218902,32.880331,-96.6248382,75041,218902,252568
1505 SAM HOUSTON DR GARLAND TX 75042,4,2.0,1979,1966,7244,332573,32.9271524,-96.6575831,75042,332573,358264
1310 CARROLL DR GARLAND TX 75041,3,2.0,1962,1825,7928,298977,32.8717401,-96.6470881,75041,298977,300172
1117 GREENCOVE DR GARLAND TX 75040,2,1.5,1968,2301,7344,266821,32.9168196,-96.6164885,75040,266821,342475
621 OAK ST GARLAND TX 75040,2,1.0,1941,816,9448,152474,32.9024741,-96.6388635,75040,152474,189225
605 FORD ST GARLAND TX 75040,3,1.0,1950,1092,6251,234709,32.907727,-96.6267597,75040,234709,212737
2615 SCOTSWOOD DR GARLAND TX 75041,4,2.0,1962,1671,7031,295777,32.8853873,-96.6651063,75041,295777,294858
5129 VERA CRUZ DR GARLAND TX 75043,3,2.0,1980,2000,10498,383024,32.8543098,-96.6194691,75043,383024,328201
3510 MATADOR DR GARLAND TX 75042,3,2.0,1967,1740,7436,302289,32.92238,-96.6843227,75042,302289,314778
2509 WHEELWRIGHT PL GARLAND TX 75044,3,2.0,1985,1618,7440,325198,32.9561491,-96.6671391,75044,325198,316215
2318 PATRICIA LN GARLAND TX 75041,3,1.5,1959,1330,7000,243255,32.8901015,-96.6596567,75041,243255,252277
1525 TURNING LEAF LN GARLAND TX 75040,4,3.0,2004,3446,7884,477186,32.9349357,-96.6077698,75040,477186,529408
322 CLIFF DR GARLAND TX 75042,4,3.0,1968,1796,11710,314029,32.9151751,-96.6544336,75042,314029,348253
5601 SADDLEBACK RD GARLAND TX 75043,3,2.0,1972,1292,6930,240253,32.847434,-96.6008436,75043,240253,250454
2704 COTTONWOOD LN BALCH SPRINGS TX 75180,4,4.0,1985,2241,11199,240253,32.7317955,-96.6347307,75180,240253,250454
5018 HIGHRIDGE DR GARLAND TX 75043,3,2.0,1969,1248,7680,275120,32.8578763,-96.6372772,75043,275120,242975
2864 BEASLEY DR GARLAND TX 75041,2,1.0,1953,1014,7370,201631,32.8838116,-96.6524383,75041,201631,208777
417 PEBBLECREEK DR GARLAND TX 75040,3,2.0,1977,2026,8638,356739,32.9445351,-96.6352945,75040,356739,338558
2806 PINEWOOD DR GARLAND TX 75044,3,2.0,1973,1884,7013,333736,32.9574682,-96.6707033,75044,333736,325148
220 DARIEN DR MESQUITE TX 75149,2,1.0,1956,1213,10707,206313,32.7655509,-96.6390305,75149,206313,210173
837 COLCHESTER DR MESQUITE TX 75149,2,1.5,1984,1114,3328,193013,32.773797,-96.607204,75149,193013,228415
2801 MEADOWLARK DR MESQUITE TX 75149,4,2.5,2000,2317,5001,356763,32.7645075,-96.6439094,75149,356763,349035
1313 LORRAINE LN MESQUITE TX 75149,2,1.0,1959,1497,7079,219115,32.7504523,-96.6374429,75149,219115,231640
1733 LEMONWOOD CIR MESQUITE TX 75149,2,2.0,1982,1302,5719,250801,32.7425847,-96.5824887,75149,250801,245993
732 LEE ST MESQUITE TX 75149,2,2.5,1985,1552,4265,268871,32.7728193,-96.6078946,75149,268871,271449
2020 CANTERBURY DR SEAGOVILLE TX 75159,4,2.5,2021,2209,6599,316642,32.6625607,-96.5553413,75159,316642,341245
200 CRYSTALWOOD DR MESQUITE TX 75149,3,2.0,1999,1554,5001,247236,32.7668071,-96.6426626,75149,247236,277827
2417 BECARD DR MESQUITE TX 75181,3,2.0,2004,1785,5802,315802,32.72425,-96.5358741,75181,315802,310158
1000 CREEKSIDE DR MESQUITE TX 75181,3,2.0,1987,1691,6499,288588,32.735446,-96.5837755,75181,288588,282755
424 CROOKED LN MESQUITE TX 75149,3,2.0,1984,1600,4199,254647,32.7759492,-96.5935517,75149,254647,271150
1930 WOOLEY WAY SEAGOVILLE TX 75159,4,2.0,2020,2006,6389,336375,32.659999,-96.5564253,75159,336375,316476
4167 MANORVIEW LN MESQUITE TX 75150,4,3.5,1985,3279,10010,536266,32.8375591,-96.6469851,75150,536266,436707
3233 POTEET DR MESQUITE TX 75150,4,3.0,1982,1906,6874,287922,32.8084907,-96.6080202,75150,287922,324432
2746 KLEBERG RD SEAGOVILLE TX 75159,3,1.5,1969,1540,48787,249945,32.6598414,-96.5913318,75159,249945,211470
721 N KAUFMAN ST SEAGOVILLE TX 75159,2,1.0,1928,1260,26502,169603,32.6464217,-96.5470868,75159,169603,172443
2603 HORTON DR SEAGOVILLE TX 75159,4,2.0,2019,1909,6599,311676,32.6871602,-96.5521311,75159,311676,307832
4407 LIVE OAK DR MESQUITE TX 75150,3,1.5,1961,1320,8172,235814,32.8247954,-96.6391625,75150,235814,237268
1301 CANDISE CT MESQUITE TX 75149,3,2.5,1971,1432,7261,214506,32.7508444,-96.636402,75149,214506,257417
2804 HILLSIDE DR MESQUITE TX 75149,3,2.0,2000,1848,5001,256683,32.7660439,-96.642873,75149,256683,298663
6208 LOS ROBLES LN MESQUITE TX 75150,3,2.0,1989,1506,4866,283859,32.8423665,-96.6278434,75150,283859,276546
3517 HILTON DR MESQUITE TX 75150,3,2.0,1958,1524,7989,297076,32.8157623,-96.6521821,75150,297076,258539
3421 HILTON DR MESQUITE TX 75150,3,2.0,1958,1212,7745,253483,32.815792,-96.6505766,75150,253483,235249
3702 RUBY DR MESQUITE TX 75150,3,2.0,1971,1610,7440,298102,32.8145124,-96.6550609,75150,298102,273072
1162 REGAL DR GARLAND TX 75040,3,2.0,1993,1486,7200,298102,32.8998182,-96.606226,75040,298102,273072
607 FRAN ST SEAGOVILLE TX 75159,3,2.0,1973,1534,17772,270289,32.6421906,-96.5464615,75159,270289,220679
12007 BADGER DR BALCH SPRINGS TX 75180,3,2.0,2019,1535,7492,278103,32.718528,-96.619791,75180,278103,270156
12014 BADGER DR BALCH SPRINGS TX 75180,3,1.0,1956,1120,17990,188774,32.7180269,-96.6193708,75180,188774,196128
3812 HICKORY TREE RD BALCH SPRINGS TX 75180,3,2.0,2002,2253,51314,361556,32.7173775,-96.6221044,75180,361556,295976
3213 SHERRY LN BALCH SPRINGS TX 75180,3,2.0,1954,864,7349,172070,32.7249288,-96.6184109,75180,172070,195203
3204 SHERRY LN BALCH SPRINGS TX 75180,3,1.0,1955,864,7532,181267,32.7255425,-96.6179423,75180,181267,182482
3100 SHERRY LN BALCH SPRINGS TX 75180,4,2.0,2022,1860,7741,372003,32.727348,-96.617856,75180,372003,297483
12008 ECHO ST BALCH SPRINGS TX 75180,3,1.0,1950,900,42253,166746,32.7162887,-96.6194334,75180,166746,181101
2417 DOTY LN BALCH SPRINGS TX 75180,3,2.0,2016,1152,8494,253713,32.7357976,-96.6362753,75180,253713,248758
2501 DOTY LN BALCH SPRINGS TX 75180,2,1.0,1950,773,8024,212889,32.7352685,-96.636317,75180,212889,165821
2423 DOTY LN BALCH SPRINGS TX 75180,4,1.0,1950,1000,8364,139793,32.7354955,-96.6363119,75180,139793,195161
3103 SHERRY LN BALCH SPRINGS TX 75180,6,2.0,1954,864,22050,206862,32.7272377,-96.6183483,75180,206862,221832
2114 RODNEY LN BALCH SPRINGS TX 75180,3,2.0,1986,1112,5506,250292,32.7399728,-96.6229183,75180,250292,227912
3102 SHERRY LN BALCH SPRINGS TX 75180,4,2.0,2006,1806,7928,332157,32.7271763,-96.6178475,75180,332157,284697
11006 OAKVIEW DR BALCH SPRINGS TX 75180,3,1.0,1950,910,25866,187831,32.7403002,-96.6374859,75180,187831,181648
11030 OAKVIEW DR BALCH SPRINGS TX 75180,2,1.0,1925,952,25866,130702,32.7403101,-96.6366088,75180,130702,159221
10919 OAKVIEW DR BALCH SPRINGS TX 75180,2,1.0,1950,960,26280,117106,32.7407182,-96.6389911,75180,117106,175307
